Date,Mobile app names,DFP: Ad units,Ad requests,Matched requests,Coverage,Clicks,Ad request CTR,CTR,Ad CTR,CPC (US$),Ad request eCPM (US$),Matched eCPM (US$),Lift,Estimated revenue (US$),Ad impressions,Ad eCPM (US$)
3/1/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » [no longer used] 1507014_LiveStreamsofNFL_Native,2,2,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » [no longer used] 1507017_LiveStreamsofNFL_Interstitial,1,1,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,Boxing Live Streams - UFC Live,424536528 » 1509372_BoxingLiveStreams_Interstitial,1312,1302,99.24%,60,4.57%,4.61%,5.72%,US$0.11 ,US$4.86 ,US$4.90 ,0.00%,US$6.38 ,1049,US$6.08 
3/1/2022,Boxing Live Streams - UFC Live,424536528 » Ad Exchange Mobile In-App » 1504270_BoxingLiveStreams_Native,2298,2298,100.00%,30,1.31%,1.31%,2.74%,US$0.07 ,US$0.94 ,US$0.94 ,0.00%,US$2.16 ,1094,US$1.97 
3/1/2022,Diamonds tool,424536528 » 1514130_DailyFreeDiamonds_AppOpen,1,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,F id sell app - F-F Accounts,424536528 » 1515889_FireID_SellApp_Banner_320x50,65,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,F id sell app - F-F Accounts,424536528 » 1515891_FireID_SellApp_Native,520,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,Football TV HD 2022,424536528 » 1505562_LiveFootballTVHD_Native,219,1,0.46%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,Hamster VPN : Unlimited Proxy,424536528 » 1514938_HamsterVPN_Interstitial,17320,16167,93.34%,563,3.25%,3.48%,17.23%,US$0.00 ,US$0.15 ,US$0.16 ,0.00%,US$2.65 ,3268,US$0.81 
3/1/2022,Live Football TV Streaming HD,424536528 » Ad Exchange Mobile In-App » 1507631_LiveFootballTVStreamingHD_Native,1242,1,0.08%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$1.70 ,0.00%,US$0.00 ,1,US$1.70 
3/1/2022,Live Football TV Streaming HD,424536528 » Ad Exchange Mobile In-App » 1507632_LiveFootballTVStreamingHD_Interstitial,1044,6,0.57%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.01 ,US$2.05 ,0.00%,US$0.01 ,6,US$2.05 
3/1/2022,Live Streaming For NFL,424536528 » 1509357_NFLLiveStreamingHDFreeNFLLive_Interstitial,160,160,100.00%,11,6.88%,6.88%,12.36%,US$0.19 ,US$13.26 ,US$13.26 ,0.00%,US$2.12 ,89,US$23.84 
3/1/2022,Live Streaming For NFL,424536528 » Ad Exchange Mobile In-App » 1504690_NFLLiveStreamingHDFreeNFLLive_Native,294,294,100.00%,8,2.72%,2.72%,9.64%,US$0.12 ,US$3.37 ,US$3.37 ,0.00%,US$0.99 ,83,US$11.94 
3/1/2022,Live Streaming For NFL,424536528 » Ad Exchange Mobile In-App » 1504694_NFLLiveStreamingHDFreeNFLLive_Appopen,16,16,100.00%,2,12.50%,12.50%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,Live Streaming for MotoGp & F1,424536528 » 1510126_RacingSchedule_Native,1409,1409,100.00%,17,1.21%,1.21%,2.36%,US$0.05 ,US$0.64 ,US$0.64 ,0.00%,US$0.90 ,719,US$1.26 
3/1/2022,Live Streaming for MotoGp & F1,424536528 » 1510127_RacingSchedule_Interstitial,833,827,99.28%,26,3.12%,3.14%,3.73%,US$0.07 ,US$2.27 ,US$2.28 ,0.00%,US$1.89 ,697,US$2.71 
3/1/2022,Live Streams for NFL,424536528 » Ad Exchange Mobile In-App » [no longer used] 1507014_LiveStreamsofNFL_Native,84,83,98.81%,2,2.38%,2.41%,8.00%,US$0.08 ,US$1.91 ,US$1.93 ,0.00%,US$0.16 ,25,US$6.41 
3/1/2022,Live Streams for NFL,424536528 » Ad Exchange Mobile In-App » [no longer used] 1507017_LiveStreamsofNFL_Interstitial,72,72,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$6.07 ,US$6.07 ,0.00%,US$0.44 ,25,US$17.47 
3/1/2022,"Odia Status - Full Screen Videos, Memes and Shayri",424536528 » 1512892_OdiaStatus_Native,39,14,35.90%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.01 ,0.00%,US$0.00 ,2,US$0.04 
3/1/2022,Watch NBA Streaming Live,424536528 » 1509252_StreamsforBasketballLive_Native,2262,2262,100.00%,14,0.62%,0.62%,1.19%,US$0.19 ,US$1.18 ,US$1.18 ,0.00%,US$2.68 ,1176,US$2.28 
3/1/2022,Watch NBA Streaming Live,424536528 » 1509253_StreamsforBasketballLive_Interstitial,1111,1083,97.48%,10,0.90%,0.92%,0.94%,US$0.60 ,US$5.43 ,US$5.57 ,0.00%,US$6.03 ,1068,US$5.65 
3/1/2022,Watch NBA Streaming Live,424536528 » 1509254_StreamsforBasketballLive_AppOpen,726,709,97.66%,14,1.93%,1.97%,2.14%,US$0.36 ,US$7.02 ,US$7.19 ,0.00%,US$5.10 ,655,US$7.79 
3/1/2022,WiFi Mouse Lite,424536528 » 1515258_WiFiMouseLite_Banner_320x50,282,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,WiFi Mouse Lite,424536528 » 1515260_WiFiMouseLite_Native,65,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,WiFi Mouse(remote control PC),424536528 » 1514976_WiFiMouse_Banner_320x50,407,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,WiFi Mouse(remote control PC),424536528 » 1514977_WiFiMouse_Native,217,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/1/2022,id sell F-F Accounts,424536528 » 1515889_FireID_SellApp_Banner_320x50,1,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,(Not applicable),424536528 » 1509252_StreamsforBasketballLive_Native,34,33,97.06%,0,0.00%,0.00%,0.00%,US$0.00 ,US$1.64 ,US$1.69 ,0.00%,US$0.06 ,20,US$2.79 
3/2/2022,(Not applicable),424536528 » 1509253_StreamsforBasketballLive_Interstitial,14,10,71.43%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.04 ,US$0.06 ,0.00%,US$0.00 ,10,US$0.06 
3/2/2022,(Not applicable),424536528 » 1509254_StreamsforBasketballLive_AppOpen,10,10,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.30 ,US$0.30 ,0.00%,US$0.00 ,10,US$0.30 
3/2/2022,(Not applicable),424536528 » 1509372_BoxingLiveStreams_Interstitial,15,15,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.71 ,US$0.71 ,0.00%,US$0.01 ,12,US$0.88 
3/2/2022,(Not applicable),424536528 » 1510126_RacingSchedule_Native,12,10,83.33%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.55 ,US$0.66 ,0.00%,US$0.01 ,4,US$1.66 
3/2/2022,(Not applicable),424536528 » 1510127_RacingSchedule_Interstitial,7,7,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.44 ,US$0.44 ,0.00%,US$0.00 ,7,US$0.44 
3/2/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1504270_BoxingLiveStreams_Native,26,26,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.21 ,US$0.21 ,0.00%,US$0.01 ,11,US$0.49 
3/2/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » [no longer used] 1507014_LiveStreamsofNFL_Native,4,4,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$3.87 ,US$3.87 ,0.00%,US$0.02 ,1,US$15.50 
3/2/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » [no longer used] 1507017_LiveStreamsofNFL_Interstitial,2,2,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$6.08 ,US$6.08 ,0.00%,US$0.01 ,1,US$12.16 
3/2/2022,Boxing Live Streams - UFC Live,424536528 » 1509372_BoxingLiveStreams_Interstitial,902,895,99.22%,36,3.99%,4.02%,5.28%,US$0.13 ,US$5.30 ,US$5.34 ,0.00%,US$4.78 ,682,US$7.01 
3/2/2022,Boxing Live Streams - UFC Live,424536528 » Ad Exchange Mobile In-App » 1504270_BoxingLiveStreams_Native,1598,1597,99.94%,46,2.88%,2.88%,6.28%,US$0.03 ,US$0.91 ,US$0.91 ,0.00%,US$1.46 ,732,US$1.99 
3/2/2022,F id sell app - F-F Accounts,424536528 » 1515889_FireID_SellApp_Banner_320x50,45,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,F id sell app - F-F Accounts,424536528 » 1515891_FireID_SellApp_Native,46,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,Football TV HD 2022,424536528 » 1505562_LiveFootballTVHD_Native,270,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,Hamster VPN : Unlimited Proxy,424536528 » 1514938_HamsterVPN_Interstitial,18545,17128,92.36%,622,3.35%,3.63%,18.50%,US$0.01 ,US$0.18 ,US$0.19 ,0.00%,US$3.26 ,3363,US$0.97 
3/2/2022,Live Cricket TV -Watch Matches,424536528 » Ad Exchange Mobile In-App » 1504277_Livecrickettv2_320x100_AdX,1,1,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.05 ,US$0.05 ,0.00%,US$0.00 ,1,US$0.05 
3/2/2022,Live Cricket TV -Watch Matches,424536528 » Ad Exchange Mobile In-App » 1504278_Livecrickettv2_Interstitial_AdX,1,1,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,Live Football TV Streaming HD,424536528 » Ad Exchange Mobile In-App » 1507631_LiveFootballTVStreamingHD_Native,3073,10,0.33%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.12 ,0.00%,US$0.00 ,7,US$0.18 
3/2/2022,Live Football TV Streaming HD,424536528 » Ad Exchange Mobile In-App » 1507632_LiveFootballTVStreamingHD_Interstitial,3330,13,0.39%,1,0.03%,7.69%,7.69%,US$0.01 ,US$0.00 ,US$0.88 ,0.00%,US$0.01 ,13,US$0.88 
3/2/2022,Live Streaming For NFL,424536528 » 1509357_NFLLiveStreamingHDFreeNFLLive_Interstitial,171,171,100.00%,2,1.17%,1.17%,2.22%,US$0.93 ,US$10.92 ,US$10.92 ,0.00%,US$1.87 ,90,US$20.75 
3/2/2022,Live Streaming For NFL,424536528 » Ad Exchange Mobile In-App » 1504690_NFLLiveStreamingHDFreeNFLLive_Native,327,327,100.00%,3,0.92%,0.92%,3.26%,US$0.24 ,US$2.17 ,US$2.17 ,0.00%,US$0.71 ,92,US$7.71 
3/2/2022,Live Streaming For NFL,424536528 » Ad Exchange Mobile In-App » 1504694_NFLLiveStreamingHDFreeNFLLive_Appopen,21,20,95.24%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,Live Streaming for MotoGp & F1,424536528 » 1510126_RacingSchedule_Native,1906,1901,99.74%,46,2.41%,2.42%,4.39%,US$0.03 ,US$0.70 ,US$0.70 ,0.00%,US$1.34 ,1049,US$1.27 
3/2/2022,Live Streaming for MotoGp & F1,424536528 » 1510127_RacingSchedule_Interstitial,1147,1126,98.17%,53,4.62%,4.71%,5.33%,US$0.05 ,US$2.19 ,US$2.23 ,0.00%,US$2.51 ,995,US$2.52 
3/2/2022,Live Streams for NFL,424536528 » Ad Exchange Mobile In-App » [no longer used] 1507014_LiveStreamsofNFL_Native,87,87,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$2.48 ,US$2.48 ,0.00%,US$0.22 ,28,US$7.71 
3/2/2022,Live Streams for NFL,424536528 » Ad Exchange Mobile In-App » [no longer used] 1507017_LiveStreamsofNFL_Interstitial,80,80,100.00%,5,6.25%,6.25%,16.13%,US$0.10 ,US$6.41 ,US$6.41 ,0.00%,US$0.51 ,31,US$16.53 
3/2/2022,Live Ten Sports TV,424536528 » Ad Exchange Mobile In-App » [no longer used] 1506738_Shiza_LiveTenSports_Banner,1,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,Live Ten Sports TV,424536528 » Ad Exchange Mobile In-App » [no longer used] 1506740_Shiza_LiveTenSports_Interstitial,1,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,"Odia Status - Full Screen Videos, Memes and Shayri",424536528 » 1512892_OdiaStatus_Native,72,42,58.33%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.01 ,US$0.02 ,0.00%,US$0.00 ,10,US$0.07 
3/2/2022,Speed Star Gangster Fighting Game,424536528 » 1515330_SpeedStarGangsterFightingGame_Banner_320x50,4,4,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.01 ,US$0.01 ,0.00%,US$0.00 ,1,US$0.03 
3/2/2022,Speed Star Gangster Fighting Game,424536528 » 1515332_SpeedStarGangsterFightingGame_Native,6,6,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.01 ,US$0.01 ,0.00%,US$0.00 ,2,US$0.02 
3/2/2022,Speed Star Gangster Fighting Game,424536528 » 1515333_SpeedStarGangsterFightingGame_Interstitial,10,10,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.03 ,US$0.03 ,0.00%,US$0.00 ,3,US$0.09 
3/2/2022,Watch NBA Streaming Live,424536528 » 1509252_StreamsforBasketballLive_Native,3441,3431,99.71%,10,0.29%,0.29%,0.57%,US$0.34 ,US$0.98 ,US$0.99 ,0.00%,US$3.39 ,1759,US$1.93 
3/2/2022,Watch NBA Streaming Live,424536528 » 1509253_StreamsforBasketballLive_Interstitial,1677,1588,94.69%,20,1.19%,1.26%,1.29%,US$0.33 ,US$3.90 ,US$4.12 ,0.00%,US$6.55 ,1545,US$4.24 
3/2/2022,Watch NBA Streaming Live,424536528 » 1509254_StreamsforBasketballLive_AppOpen,1055,1006,95.36%,12,1.14%,1.19%,1.30%,US$0.38 ,US$4.30 ,US$4.51 ,0.00%,US$4.54 ,920,US$4.94 
3/2/2022,WiFi Mouse Lite,424536528 » 1515258_WiFiMouseLite_Banner_320x50,356,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,WiFi Mouse Lite,424536528 » 1515260_WiFiMouseLite_Native,59,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,WiFi Mouse(remote control PC),424536528 » 1514976_WiFiMouse_Banner_320x50,826,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,WiFi Mouse(remote control PC),424536528 » 1514977_WiFiMouse_Native,212,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,id sell F-F Accounts,424536528 » 1515889_FireID_SellApp_Banner_320x50,1,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/2/2022,id sell F-F Accounts,424536528 » 1515891_FireID_SellApp_Native,1,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/3/2022,(Not applicable),424536528 » 1509252_StreamsforBasketballLive_Native,15,15,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$2.30 ,US$2.30 ,0.00%,US$0.03 ,8,US$4.31 
3/3/2022,(Not applicable),424536528 » 1509253_StreamsforBasketballLive_Interstitial,10,10,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.33 ,US$0.33 ,0.00%,US$0.00 ,10,US$0.33 
3/3/2022,(Not applicable),424536528 » 1509254_StreamsforBasketballLive_AppOpen,5,5,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.44 ,US$0.44 ,0.00%,US$0.00 ,3,US$0.73 
3/3/2022,(Not applicable),424536528 » 1509357_NFLLiveStreamingHDFreeNFLLive_Interstitial,1,1,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/3/2022,(Not applicable),424536528 » 1509372_BoxingLiveStreams_Interstitial,11,9,81.82%,0,0.00%,0.00%,0.00%,US$0.00 ,US$1.15 ,US$1.40 ,0.00%,US$0.01 ,9,US$1.40 
3/3/2022,(Not applicable),424536528 » 1510126_RacingSchedule_Native,21,21,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$1.45 ,US$1.45 ,0.00%,US$0.03 ,13,US$2.34 
3/3/2022,(Not applicable),424536528 » 1510127_RacingSchedule_Interstitial,13,13,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.81 ,US$0.81 ,0.00%,US$0.01 ,11,US$0.96 
3/3/2022,(Not applicable),424536528 » 1514938_HamsterVPN_Interstitial,12,12,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.15 ,US$0.15 ,0.00%,US$0.00 ,1,US$1.85 
3/3/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1504270_BoxingLiveStreams_Native,19,19,100.00%,2,10.53%,10.53%,16.67%,US$0.01 ,US$0.73 ,US$0.73 ,0.00%,US$0.01 ,12,US$1.15 
3/3/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1504690_NFLLiveStreamingHDFreeNFLLive_Native,2,2,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/3/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1507631_LiveFootballTVStreamingHD_Native,2,2,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.02 ,US$0.02 ,0.00%,US$0.00 ,1,US$0.04 
3/3/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1507632_LiveFootballTVStreamingHD_Interstitial,4,4,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.13 ,US$0.13 ,0.00%,US$0.00 ,4,US$0.13 
3/3/2022,Boxing Live Streams - UFC Live,424536528 » 1509372_BoxingLiveStreams_Interstitial,957,948,99.06%,35,3.66%,3.69%,4.81%,US$0.15 ,US$5.46 ,US$5.51 ,0.00%,US$5.23 ,728,US$7.18 
3/3/2022,Boxing Live Streams - UFC Live,424536528 » Ad Exchange Mobile In-App » 1504270_BoxingLiveStreams_Native,1777,1777,100.00%,21,1.18%,1.18%,2.48%,US$0.10 ,US$1.13 ,US$1.13 ,0.00%,US$2.01 ,847,US$2.37 
3/3/2022,Diamonds Gaining Tips,424536528 » 1515191_DiamondsGainingTips_AppOpen,1,1,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$1.04 ,US$1.04 ,0.00%,US$0.00 ,1,US$1.04 
3/3/2022,F id sell app - F-F Accounts,424536528 » 1515889_FireID_SellApp_Banner_320x50,46,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/3/2022,F id sell app - F-F Accounts,424536528 » 1515891_FireID_SellApp_Native,42,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/3/2022,Football TV HD 2022,424536528 » 1505562_LiveFootballTVHD_Native,298,2,0.67%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.51 ,0.00%,US$0.00 ,2,US$0.51 
3/3/2022,Hamster VPN : Unlimited Proxy,424536528 » 1514938_HamsterVPN_Interstitial,22359,20765,92.87%,773,3.46%,3.72%,18.33%,US$0.01 ,US$0.18 ,US$0.19 ,0.00%,US$3.95 ,4216,US$0.94 
3/3/2022,Live Football TV Streaming HD,424536528 » Ad Exchange Mobile In-App » 1507631_LiveFootballTVStreamingHD_Native,6505,62,0.95%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.23 ,0.00%,US$0.01 ,41,US$0.35 
3/3/2022,Live Football TV Streaming HD,424536528 » Ad Exchange Mobile In-App » 1507632_LiveFootballTVStreamingHD_Interstitial,5170,57,1.10%,2,0.04%,3.51%,4.00%,US$0.02 ,US$0.01 ,US$0.66 ,0.00%,US$0.04 ,50,US$0.75 
3/3/2022,Live Streaming For NFL,424536528 » 1509357_NFLLiveStreamingHDFreeNFLLive_Interstitial,180,178,98.89%,4,2.22%,2.25%,3.92%,US$0.48 ,US$10.73 ,US$10.85 ,0.00%,US$1.93 ,102,US$18.93 
3/3/2022,Live Streaming For NFL,424536528 » Ad Exchange Mobile In-App » 1504690_NFLLiveStreamingHDFreeNFLLive_Native,303,303,100.00%,4,1.32%,1.32%,5.06%,US$0.15 ,US$2.00 ,US$2.00 ,0.00%,US$0.61 ,79,US$7.68 
3/3/2022,Live Streaming For NFL,424536528 » Ad Exchange Mobile In-App » 1504694_NFLLiveStreamingHDFreeNFLLive_Appopen,15,15,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
3/3/2022,Live Streaming for MotoGp & F1,424536528 » 1510126_RacingSchedule_Native,3529,3529,100.00%,66,1.87%,1.87%,3.26%,US$0.04 ,US$0.76 ,US$0.76 ,0.00%,US$2.69 ,2023,US$1.33 
3/3/2022,Live Streaming for MotoGp & F1,424536528 » 1510127_RacingSchedule_Interstitial,2319,2299,99.14%,96,4.14%,4.18%,4.55%,US$0.06 ,US$2.40 ,US$2.42 ,0.00%,US$5.57 ,2109,US$2.64 
3/3/2022,Live Streams for NFL,424536528 » Ad Exchange Mobile In-App » [no longer used] 1507014_LiveStreamsofNFL_Native,112,112,100.00%,1,0.89%,0.89%,2.56%,US$0.39 ,US$3.52 ,US$3.52 ,0.00%,US$0.39 ,39,US$10.12 
3/3/2022,Live Streams for NFL,424536528 » Ad Exchange Mobile In-App » [no longer used] 1507017_LiveStreamsofNFL_Interstitial,82,82,100.00%,1,1.22%,1.22%,2.38%,US$0.87 ,US$10.57 ,US$10.57 ,0.00%,US$0.87 ,42,US$20.63 
3/3/2022,"Odia Status - Full Screen Videos, Memes and Shayri",424536528 » 1512892_OdiaStatus_Native,62,32,51.61%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.01 ,0.00%,US$0.00 ,1,US$0.16 
3/3/2022,Watch NBA Streaming Live,424536528 » 1509252_StreamsforBasketballLive_Native,2768,2753,99.46%,15,0.54%,0.54%,1.04%,US$0.28 ,US$1.50 ,US$1.51 ,0.00%,US$4.17 ,1444,US$2.88 
3/3/2022,Watch NBA Streaming Live,424536528 » 1509253_StreamsforBasketballLive_Interstitial,1142,1102,96.50%,20,1.75%,1.81%,1.84%,US$0.27 ,US$4.74 ,US$4.91 ,0.00%,US$5.41 ,1085,US$4.99 
3/3/2022,Watch NBA Streaming Live,424536528 » 1509254_StreamsforBasketballLive_AppOpen,983,949,96.54%,24,2.44%,2.53%,2.82%,US$0.24 ,US$5.91 ,US$6.12 ,0.00%,US$5.81 ,852,US$6.82 
3/3/2022,WiFi Mouse Lite,424536528 » 1515258_WiFiMouseLite_Banner_320x50,133,0,0.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.00 ,US$0.00 ,0.00%,US$0.00 ,0,US$0.00 
